type,id,name,weekend_only,desc,ingredients,image
breakfast,b1,Yoghurt Jar,false,"Full fat yoghurt + frozen blueberries + ground flaxseed + walnuts + optional honey. Make the night before in a jar — grab from fridge on the way out.","Full fat natural yoghurt|Frozen blueberries|Ground flaxseed|Walnuts|Honey",images/rings.png
breakfast,b2,Nut Butter & Banana Oatcakes,false,"Nairn's oatcakes + Brain Food nut butter + sliced banana. Pack in a container, eat at your desk.","Nairn's oatcakes|Brain Food nut butter|Banana",
breakfast,b3,Smoked Salmon Oatcakes,false,"Nairn's oatcakes + smoked salmon + squeeze of lemon. Two minutes, high protein.","Nairn's oatcakes|Smoked salmon|Lemon",
breakfast,b4,Scrambled Eggs & Mushrooms,false,"Eggs scrambled with garlic-fried mushrooms + spinach wilted in at the end. Great for a slower morning.","Eggs|Mushrooms|Garlic|Spinach|Olive oil",
breakfast,b5,Boiled Eggs & Avocado,false,"Two boiled eggs + sliced avocado + cherry tomatoes + olive oil drizzle.","Eggs|Avocado|Cherry tomatoes|Olive oil",
lunch,l1,Smoked Salmon & Avocado Rye,false,"Rye bread + smoked salmon + sliced avocado + lemon. With olives on the side + apple.","Rye bread|Smoked salmon|Avocado|Lemon|Olives|Apple",
lunch,l2,Lentil & Beetroot Salad,false,"Cold lentil pouch + sliced beetroot + olive oil + lemon. With rye crackers + apple.","Precooked lentil pouch|Cooked beetroot|Olive oil|Lemon|Rye crackers|Apple",
lunch,l3,Houmous & Crudités,false,"Houmous + celery, carrot and cucumber sticks to dip. With rye crackers + apple.","Houmous|Celery|Carrot|Cucumber|Rye crackers|Apple",
lunch,l4,Beetroot & Walnut,false,"Sliced beetroot + walnuts + olive oil + lemon. With rye crackers + apple.","Cooked beetroot|Walnuts|Olive oil|Lemon|Rye crackers|Apple",
lunch,l5,Smoked Salmon & Rye with Sauerkraut,false,"Rye bread + smoked salmon + pot of sauerkraut on the side + cherry tomatoes + apple.","Rye bread|Smoked salmon|Sauerkraut|Cherry tomatoes|Apple",
lunch,l6,Lentil & Artichoke,false,"Cold lentil pouch + artichoke hearts + olive oil + lemon + black pepper. With rye crackers + apple.","Precooked lentil pouch|Jarred artichoke hearts|Olive oil|Lemon|Rye crackers|Apple",
dinner,d1,Coconut Lentil Soup,false,"Precooked lentils + coconut milk + turmeric + ginger + stock. Sprinkle flaxseed on top. 10 mins.","Precooked lentil pouch|Tinned coconut milk|Turmeric|Ginger|Good stock|Ground flaxseed|Black pepper",
dinner,d2,Salmon with Lentils,false,"Pan-fried salmon fillet + warmed lentil pouch + lemon + garlic + olive oil. 15 mins.","Fresh salmon fillet|Precooked lentil pouch|Garlic|Lemon|Olive oil",
dinner,d3,Chickpea & Tomato Stew,false,"Tinned chickpeas + tinned tomatoes + garlic + cumin + turmeric + black pepper. Serve with rye bread. 10 mins.","Tinned chickpeas|Tinned tomatoes|Garlic|Cumin|Turmeric|Black pepper|Rye bread",
dinner,d4,Black Beans with Caramelised Onions & Miso,false,"Slow-fried onions until golden + black beans + cumin + miso stirred in at the end. Serve with rye bread. 15 mins.","Tinned black beans|Onions|Cumin|Miso paste|Olive oil|Rye bread",
dinner,d5,Tofu Noodle Miso Bowl,false,"Soba noodles + cubed tofu + miso broth + mushrooms + spinach or pak choi. Sprinkle flaxseed. 12 mins.","Soba noodles|Firm tofu|Miso paste|Mushrooms|Spinach|Good stock|Ground flaxseed",
dinner,d6,Pasta with Cherry Tomatoes & Garlic,false,"Wholegrain pasta + olive oil + garlic + cherry tomatoes + spinach wilted in at the end. 15 mins.","Wholegrain pasta|Cherry tomatoes|Garlic|Olive oil|Spinach",
dinner,d7,Eggs & Artichokes,false,"Fried eggs in olive oil + jarred artichoke hearts + black pepper. 5 mins.","Eggs|Jarred artichoke hearts|Olive oil|Black pepper",
dinner,d8,Flageolet Beans & Asparagus,false,"Flageolet beans + asparagus + garlic + olive oil + lemon. Light and fresh. 10 mins.","Tinned flageolet beans|Asparagus|Garlic|Olive oil|Lemon",
dinner,d9,Butter Bean & Spinach,false,"Tinned butter beans + garlic + olive oil + lemon + spinach wilted in + black pepper. 10 mins.","Tinned butter beans|Garlic|Olive oil|Lemon|Spinach|Black pepper",
dinner,d10,Tinned Salmon & Beetroot Bowl,false,"Tinned salmon + sliced beetroot + lentils + olive oil + lemon + black pepper. Serve with rye bread. 10 mins.","Tinned salmon|Cooked beetroot|Precooked lentil pouch|Olive oil|Lemon|Black pepper|Rye bread",
dinner,d11,Crispy Tofu with Sauerkraut,false,"Firm tofu sliced and pan-fried until golden + sauerkraut on the side + wholegrain mustard + rye bread. 15 mins.","Firm tofu|Sauerkraut|Wholegrain mustard|Olive oil|Rye bread",
pudding,p1,Dark Chocolate & Peppermint Tea,false,"2 squares 85% dark chocolate + peppermint tea. Make it a proper end-of-day ritual.","Dark chocolate (85%)|Peppermint tea",
pudding,p2,Yoghurt Bowl,false,"Full fat yoghurt + frozen blueberries + honey drizzle. Light and satisfying.","Full fat natural yoghurt|Frozen blueberries|Honey",
pudding,p3,Coconut Collaborative Pot,false,"Dark chocolate coconut yoghurt pot. A good Friday treat.","Coconut Collaborative pot",
pudding,p4,Stewed Fruit with Cinnamon,false,"Apple or pear + cinnamon on the hob for 5 mins. Warm and comforting. Top with yoghurt if you like.","Apple|Cinnamon|Full fat natural yoghurt",
